?G(OOH),?G(OOH-Ni),?G(OOH-Co),?G(OOH-Fe),?G(OOH-Pd),?G(OOH-Pt)
3.6144,2.24003,1.30434,1.17098,1.53029,3.94794
0.44789,0.75875,0.18449,0.85966,1.84731,3.94664
3.5514,1.25126,0.02473,0.57536,1.48437,3.98289
0.81899,0.23102,-0.13593,1.51104,1.29466,4.01212
1.48162,0.49119,0.09456,1.02894,1.54966,4.25981
0.88717,2.24252,1.55799,0.41613,1.45716,4.13772
1.50679,0.99461,-0.30514,0.82021,3.48096,4.24046
0.01036,0.23449,0.6232,1.16708,2.30329,3.98267
1.48896,0.78507,0.51755,1.13579,0.44017,4.06873
0.36984,0.64978,0.61446,0.8648,1.48426,3.95971
0.39533,1.2638,-0.03481,0.5505,1.45202,4.10939
0.95697,0.02768,1.02958,0.4837,1.10813,3.844
0.74295,1.25715,0.1811,0.74906,0.7338,3.64753
4.0162,-0.15647,0.86743,1.27625,1.39497,3.63288
1.54422,0.13435,0.32182,0.74903,0.25114,3.64793
0.11502,1.78936,0.3397,0.86009,0.83142,3.9992
0.39193,2.00905,1.0285,0.52453,3.375,4.08357
0.52618,0.10169,0.06057,0.56965,1.1906,3.92278
0.34157,-0.14607,0.02387,1.58099,0.54042,3.86381
1.92665,0.82381,-0.11931,1.10423,0.832,3.91203
1.57919,1.15296,0.86067,0.49514,1.64385,3.97476
3.71567,0.61204,-0.21156,0.85724,1.23139,4.0902
1.28783,0.60836,0.95064,0.89315,1.55429,4.0981
0.32171,1.38078,1.26993,1.09151,1.39249,3.88093
1.78548,-0.10771,0.73811,0.95641,3.47507,3.68022
0.63268,0.16855,1.81348,0.62572,1.04493,4.03056
1.0472,0.0811,1.01919,1.02668,1.47601,3.9071
1.49255,0.0282,0.84829,0.54289,1.23839,3.93708
1.93176,0.49962,1.26073,1.30615,1.1158,3.92358
1.10765,-0.14413,1.81318,1.22069,1.6913,3.86818
1.1052,0.14615,1.41825,1.49159,1.15445,3.77334
