?G(O),?G(O-Ru),?G(O-Rh),?G(O-Pd),?G(O-Ir),?G(O-Pt)
1.18118,0.38701,-0.00201,0.79648,0.42412,1.49314
0.75158,0.51173,1.53611,1.1119,1.25439,1.22243
0.68998,1.0294,1.4753,1.65982,1.14138,1.13201
0.81941,0.25254,0.89585,-0.05722,1.53669,1.51376
0.68528,0.09436,0.27642,1.53954,0.61661,1.33356
0.79226,0.98213,0.75872,0.49771,1.18483,1.57911
0.78791,0.66589,0.27522,1.36946,0.07395,1.62258
1.77517,0.90555,0.91787,1.54237,0.29424,1.70889
0.85861,0.18686,0.07347,1.66853,0.45628,1.98527
0.78232,0.25426,1.12441,0.80112,0.76006,1.86237
0.78238,1.03371,1.2783,1.06517,0.43904,1.04106
0.72001,0.98179,0.60372,1.11924,0.2975,1.17807
0.82405,0.38548,0.49171,1.51905,0.49632,1.34323
0.7867,0.26009,0.51046,1.66059,0.71961,1.9768
1.0748,0.09743,1.2678,2.2851,0.93075,1.90474
0.84439,0.19421,1.21725,0.53583,0.45706,1.93318
1.87848,1.03573,0.25159,0.61119,1.12697,1.03835
0.30921,0.1862,1.21474,0.47646,0.54762,0.9894
0.47045,0.5117,0.09459,0.97633,0.67849,1.74161
0.53419,1.03275,0.09527,0.62575,0.94559,1.57372
0.5368,0.25298,0.82179,1.49314,0.56374,1.81509
1.25025,0.58188,0.51777,1.13201,0.93749,1.03839
0.32788,1.18201,0.51454,1.57911,0.29933,1.64047
0.46898,0.49167,0.51173,1.62258,0.45237,1.11833
1.46338,0.90859,0.25254,0.53319,0.55126,1.57624
1.10296,0.51262,0.09436,0.85859,0.29069,0.43883
1.14846,0.1055,0.66589,0.47829,0.50325,0.72165
0.32556,0.584,0.82121,0.53263,1.07267,1.56377
2.18141,0.09553,1.34198,1.10864,0.83186,1.48894
0.8383,0.98218,0.25426,1.86237,1.4046,0.90806
0.71591,0.90484,0.26009,0.6712,0.13026,0.54795
0.33479,0.66976,0.09743,1.34323,0.65997,0.98753
1.0083,0.38371,0.82114,0.49498,0.16095,0.20661
1.4291,0.25706,1.37802,1.90474,1.51404,0.55581
1.08672,0.60684,0.5117,0.49809,1.04355,1.88133
0.83441,0.09563,0.25298,1.93318,0.28181,0.87341
0.91932,0.4951,0.49167,0.84588,0.12548,0.80502
1.44558,0.25244,0.51262,1.57372,0.799,1.94146
0.71476,0.99424,0.1055,0.49626,-0.05198,1.25907
0.85383,0.51487,1.21714,0.83975,-0.0519,1.43227
0.07041,0.51055,1.26458,1.64047,0.8032,0.77821
0.24802,0.9084,0.09553,0.72165,1.14989,0.95099
0.53616,0.18696,1.34058,1.56377,0.58495,0.48807
2.10518,0.18712,0.66976,0.48418,0.11956,0.93547
0.33363,0.25749,1.55198,1.88133,-0.0561,1.20414
1.39193,0.79648,0.25706,1.94146,0.27135,0.43429
1.14031,-0.05722,0.60684,0.61225,0.93665,0.91183
2.03588,0.2464,0.09563,0.50782,0.66258,0.71971
0.54256,0.7195,0.4951,0.21546,1.0881,0.70083
0.24643,0.71993,0.82347,0.3559,0.98349,0.50698
1.15458,0.42743,0.82846,0.7001,0.93843,0.87111
1.00036,0.49771,0.25244,0.35782,0.822,2.07315
0.95556,0.80112,0.51487,0.55296,1.37103,0.95623
1.31667,0.24862,0.51055,0.55032,0.43132,1.06757
0.52447,0.24285,0.25749,2.07315,0.6697,1.07154
0.85597,0.96999,1.1119,1.06371,0.50367,2.32862
0.07488,1.11924,1.65982,1.11105,0.0025,2.07152
0.46938,0.53583,1.80217,0.75986,0.27184,2.1008
0.37801,0.61119,0.2464,1.18021,0.18112,1.53669
0.9201,0.95699,1.38647,2.07152,-0.03146,1.72953
0.88988,0.47646,0.93141,2.1008,1.17594,0.93032
1.40828,0.50731,1.64656,1.14138,0.12949,0.9312
0.6072,0.4899,0.7147,0.57419,0.61435,0.79333
0.30852,0.97633,1.08596,0.95932,0.22092,0.81834
0.27957,0.62575,1.59823,1.72953,0.12789,1.00397
1.07478,0.50188,1.53954,1.41129,0.32045,0.91848
1.12537,0.48757,0.71681,0.95742,-0.03301,1.4046
1.28318,1.13201,1.36946,1.18483,0.72794,1.51404
0.43594,0.53319,1.04264,0.7615,0.84837,0.799
0.16549,0.85859,1.54237,1.47658,0.59456,0.8032
2.11212,0.47829,1.66853,0.45628,0.73003,1.14989
1.80779,0.53263,1.06517,0.49632,1.5744,1.453
0.06785,0.69246,0.24862,0.79333,0.47653,0.43899
0.00435,0.6712,0.7105,0.93075,1.11837,0.93665
0.99568,0.08786,0.24285,0.45706,0.72857,1.15414
1.22635,1.04106,1.03332,0.83739,0.98233,1.16012
0.94291,0.38865,1.51905,1.12697,0.74196,0.43575
-0.00201,0.49498,1.66059,0.94559,0.47309,0.7822
1.53611,0.1152,0.91792,1.07267,0.598,0.44544
1.54698,0.49809,0.50731,1.4046,1.16712,0.9427
0.99986,0.08479,0.4899,0.40613,1.44741,1.0881
1.7668,1.03835,1.07374,1.04355,0.1897,1.00323
1.4753,0.0995,0.62575,0.58495,1.25099,1.55729
0.37639,0.49626,1.49314,1.453,1.19449,0.54755
0.38427,0.397,0.50188,0.42652,0.19649,0.93843
0.98742,1.03839,0.48757,0.54109,1.07595,1.098
0.89585,1.11833,1.33356,1.15414,1.38067,0.54688
0.27642,0.38673,1.57911,1.16012,1.0763,1.37103
0.87751,0.43883,1.62258,0.87145,1.32562,1.52013
0.75872,0.72165,0.85859,0.98349,1.2279,1.66265
0.27522,0.41107,1.10864,1.37103,0.20141,1.51315
2.87597,0.41819,0.69246,1.52013,1.11863,0.89622
1.72172,0.90806,1.70889,1.66265,1.40769,1.82382
0.91787,0.52387,0.08786,1.51315,1.33029,0.82363
1.54814,0.48418,1.17807,0.89622,0.24583,0.6697
1.78023,0.54795,0.38865,1.82382,0.88919,0.3804
0.94342,0.98753,1.34323,0.86379,0.7753,0.50367
0.07347,0.20661,0.1152,1.3621,0.80928,0.88008
0.99222,0.55581,0.08479,0.84837,0.75572,0.75521
0.94559,0.20476,0.9894,0.97469,0.45484,1.17594
0.74471,0.21439,1.74161,0.6394,0.59841,0.86052
0.9981,0.21146,1.81509,1.69712,0.16173,0.39039
1.80965,-0.24759,0.397,1.29255,0.15671,0.54554
1.12441,-0.10571,1.64047,1.16712,0.63803,0.61435
1.40032,0.23883,1.11833,0.81182,0.80388,0.70834
2.77794,0.80502,0.38673,1.16347,1.47245,0.24576
0.2696,-0.25516,1.57624,0.58444,0.80738,1.3621
1.2783,0.61225,0.43883,1.19449,0.31528,0.72794
0.60372,0.50782,1.56377,1.04036,0.97533,0.97469
1.03169,1.25907,1.48894,1.00119,0.63762,1.69712
0.18865,0.21546,0.41107,1.38067,1.21009,1.5944
0.49171,1.43227,0.41819,0.5911,0.75972,0.73003
0.90622,0.3559,0.52387,0.59024,0.80457,0.53291
0.18609,0.61032,0.48418,1.11863,0.47943,1.6705
0.51046,-0.01012,0.98753,1.40118,1.46276,1.5744
1.2678,0.77821,0.75234,0.81277,1.04288,1.11837
1.21725,0.95099,0.20476,0.7753,0.75995,0.72857
0.19009,0.48807,0.21439,0.80928,0.48608,1.69829
1.05632,0.40953,0.21146,0.11938,0.9025,0.98233
0.25159,0.93547,0.62989,1.2353,0.71374,1.29255
0.58166,1.20414,0.80502,0.11228,0.92691,0.74196
1.21474,0.52023,0.50782,1.47245,0.14813,1.44741
0.09459,0.43429,0.61032,0.97533,1.03501,1.29263
0.09527,0.91183,-0.01012,0.80457,0.14512,1.25099
1.46003,0.71971,0.77821,0.47943,0.65858,1.07595
0.82179,0.4138,0.48807,1.46276,0.66319,1.38067
0.91032,0.30052,0.40953,0.74369,0.14035,1.0763
0.3848,0.09096,0.93547,0.9025,1.43813,1.32562
