?G(OH),?G(OH-Ru),?G(OH-Rh),?G(OH-Pd),?G(OH-Ir),?G(OH-Pt)
0.18305,0.29359,0.19807,--,0.15638,0.55384
0.64148,0.26458,0.17826,--,0.49517,0.82867
0.21489,0.03496,0.414,--,0.20891,0.55171
0.11156,0.15807,0.12483,--,0.51228,1.04186
0.88419,0.43214,0.35454,--,0.26708,0.82554
1.22673,0.19807,0.2015,--,0.45876,0.71035
-0.02172,0.17826,0.35489,--,0.15203,0.75063
0.03286,0.414,0.38225,--,0.51217,0.96271
0.37263,0.12483,0.29629,--,0.41045,0.88977
0.54553,0.80974,0.16741,--,0.26781,0.72309
0.29881,0.03621,0.29731,--,0.45664,0.48532
0.04409,0.18291,0.27929,--,0.20876,0.70896
0.59056,0.01936,0.4048,--,0.2463,0.82855
0.97512,0.5092,0.46068,--,0.51223,1.05677
0.37356,0.2015,0.18831,--,0.20081,0.50591
0.94369,0.6873,0.09379,--,0.17861,0.50861
0.52267,0.03479,0.12347,--,0.21213,0.50297
0.49609,0.03783,0.21855,--,0.34439,0.5235
0.59023,0.51918,0.21307,--,0.48535,0.77285
0.26784,0.38225,0.51764,--,0.21163,0.48387
0.35162,0.15891,0.30262,--,0.48983,0.50682
0.15883,0.29629,0.53263,--,0.53248,0.56208
0.32781,0.26376,0.3765,--,0.16827,0.96946
0.45856,0.16741,0.30078,--,0.17075,1.24801
0.37699,0.20206,0.535,--,0.303,0.82585
1.0835,0.23938,0.2926,--,0.48782,0.71145
0.53414,0.29731,0.30295,--,0.20891,0.31501
0.57388,0.02821,0.52078,--,0.52646,0.92101
0.45921,0.37512,0.30286,--,0.49097,0.45273
0.57701,0.27929,0.35906,--,0.1718,0.90038
0.35264,0.4048,0.52074,--,0.74227,0.76682
-0.01978,0.46068,0.19374,--,0.16992,0.26095
0.32711,0.18831,0.30103,--,0.28833,1.02115
1.02592,0.09379,0.7787,--,0.20066,1.0223
0.15183,0.12347,0.51962,--,0.12154,1.04547
0.37851,0.25397,0.57041,--,0.15724,1.08413
0.87367,0.21855,0.84303,--,0.34481,1.08861
0.99821,0.32519,0.29618,--,0.25392,1.00439
0.47038,0.21307,0.53866,--,0.15239,1.03348
0.98866,0.31003,0.56834,--,0.44186,0.91047
0.02563,0.34796,0.19054,--,0.5584,1.10293
0.30682,0.50779,0.29445,,0.43695,1.02692
0.42965,0.51382,0.52165,,0.46309,1.13149
0.56324,0.32515,0.83771,,0.45317,1.13374
0.01998,0.47546,0.35519,,0.23252,1.01097
0.14817,0.19374,0.60368,,0.44188,1.0511
0.02528,0.30946,0.2089,,0.1979,0.91417
0.24546,0.32678,0.52793,,0.19347,1.01645
0.09572,0.45333,0.20829,,0.53055,0.97376
0.07638,0.26233,0.39635,,0.4555,1.03953
0.37714,0.19054,0.41488,,0.47008,0.93288
0.95016,0.09585,0.30269,,0.4696,0.88419
0.31067,0.28599,0.30872,,0.64406,1.02592
0.14773,0.28206,0.33936,,0.59514,0.87367
0.13593,-0.19462,0.28199,,0.46436,0.99821
0.60307,-0.01276,0.58118,,0.23267,0.95016
0.9153,0.21877,0.41317,,0.53549,0.94612
0.0079,0.25274,0.47892,,0.51387,0.93812
0.12107,0.2089,0.30078,,0.66864,1.1082
0.58619,-0.19416,0.40127,,0.6159,0.93551
0.94612,0.0137,0.45699,,0.4045,1.02274
0.31877,-0.19054,0.41648,,0.64534,0.95438
0.61943,0.66128,0.30091,,0.59758,1.10395
0.30733,-0.19651,0.30855,,0.47419,1.08691
0.52693,0.32452,0.30954,,0.43976,0.96435
0.68449,0.4927,0.30708,,0.33151,0.93702
0.0079,0.24887,0.4741,,0.19499,0.83618
0.06361,-0.14962,0.5014,,0.5935,0.83137
0.00813,0.20829,0.14067,,0.43979,0.83895
0.31741,0.04634,0.51306,,0.56423,0.83294
0.25101,0.28506,0.15638,,0.18458,0.96172
0.55812,0.23494,0.51228,,0.45555,0.83012
0.42724,0.25203,0.26708,,0.49098,0.96955
0.23483,0.2873,0.02087,,0.22986,0.83105
0.93812,0.01389,0.17102,,0.20409,1.06268
0.61764,0.32334,0.12118,,0.22986,0.95947
0.2039,0.32665,0.02258,,0.36796,0.96274
0.30669,0.33936,0.16968,,0.393,0.92401
0.23851,0.04014,0.51217,,0.18813,0.9255
0.78891,0.27203,0.12389,,0.4876,0.8978
0.24174,0.2479,0.14859,,0.2872,0.92831
1.0792,0.32801,0.26781,,0.39204,1.04505
0.35346,0.04325,0.1197,,0.47545,1.02203
0.26248,0.13604,0.6742,,0.57719,1.19149
0.09013,0.45056,0.14309,,0.3637,1.07173
0.51635,0.3067,0.11357,,0.1147,0.9689
0.36818,-0.01982,0.22263,,0.2037,1.03175
0.78136,0.24683,0.2463,,0.11678,0.95348
0.80117,0.35408,0.60464,,0.4961,1.02446
0.28626,0.30855,0.2286,,0.76191,0.96117
-0.17215,0.00629,0.66879,,0.2079,1.02643
0.42997,0.30708,0.02219,,0.56732,0.99441
0.66034,0.13622,0.51223,,0.51693,0.94972
1.05346,0.1644,0.02841,,0.42365,1.03414
0.55384,0.32443,0.2312,,0.20989,1.03328
-0.13408,-0.01615,0.02016,,0.38433,1.13093
0.7005,-0.02072,-0.01868,,0.20836,1.07052
0.37207,0.15139,0.02932,,0.37731,0.98901
0.27229,0.14067,0.24367,,0.54432,1.15144
0.13938,0.22313,0.68853,,0.24345,1.08052
0.80488,0.01485,0.24293,,0.3878,1.03363
0.65432,0.21731,0.26648,,0.22256,1.22717
0.07514,0.20891,0.32611,,0.21635,0.92393
0.07515,0.02087,0.46975,,0.51371,1.01
0.6644,0.17102,0.26576,,0.50255,1.01174
0.62304,0.02258,0.53248,,0.49745,0.94465
0.73189,0.15203,0.52576,,0.38839,0.88623
0.41706,0.16968,0.43371,,0.12262,1.00914
0.59567,-0.01751,0.32392,,0.35071,1.00155
0.51377,-0.01789,0.43675,,0.19721,0.99854
0.49916,0.01436,0.32458,,0.33936,0.99723
-0.01161,0.14859,0.79429,,0.09257,0.97766
0.63373,0.0123,0.27188,,0.09022,1.11506
-0.01356,0.1197,0.24233,,0.60678,1.08602
0.42955,0.14309,0.24583,,0.13653,1.15322
0.4909,-0.04854,0.47474,,0.09578,1.22466
0.48847,0.20876,0.68886,,0.22723,0.85708
0.07563,0.22263,0.52646,,0.55314,0.96516
0.41908,0.02389,0.25633,,0.57039,0.85807
0.36982,0.02219,0.26869,,0.46225,1.14807
0.41644,0.20081,0.73172,,0.55361,1.03561
0.36842,-0.02019,0.43946,,0.35478,0.94676
0.30634,0.17861,0.49097,,0.33394,0.90291
-0.18175,0.02841,0.76754,,0.12466,0.9681
0.80498,0.2312,0.34985,,0.52708,0.94505
0.42807,-0.01716,0.643,,-0.01153,1.08723
-0.01293,0.02016,0.4705,,0.45613,0.93952
0.88864,-0.01868,0.26653,,0.48339,0.83653
