?G(OH),?G(OH-Ru),?G(OH-Rh),?G(OH-Pd),?G(OH-Ir),?G(OH-Pt)
0.72313,,,,,
1.18002,,,,,
0.1516,,,,,
0.51983,,,,,
0.96232,,,,,
0.4957,,,,,
0.30582,,,,,
0.11593,,,,,
0.2113,,,,,
1.0934,,,,,
0.2921,,,,,
0.17797,,,,,
0.83438,,,,,
0.66918,,,,,
0.48743,,,,,
0.51989,,,,,
0.16449,,,,,
0.4798,,,,,
0.41893,,,,,
0.2987,,,,,
0.479,,,,,
0.6939,,,,,
0.57595,,,,,
0.20071,,,,,
0.31178,,,,,
0.26152,,,,,
0.26661,,,,,
0.81237,,,,,
0.50794,,,,,
0.31501,,,,,
0.93701,,,,,
0.4697,,,,,
0.17833,,,,,
0.09711,,,,,
0.2286,,,,,
0.63136,,,,,
0.4268,,,,,
0.92101,,,,,
0.31921,,,,,
0.26867,,,,,
0.98167,,,,,
0.19498,,,,,
0.19887,,,,,
0.50222,,,,,
0.21897,,,,,
0.32067,,,,,
0.68554,,,,,
0.20136,,,,,
0.52605,,,,,
0.42075,,,,,
0.80577,,,,,
0.22491,,,,,
0.27183,,,,,
0.71273,,,,,
0.29708,,,,,
0.97803,,,,,
0.23495,,,,,
0.48342,,,,,
0.96575,,,,,
0.17933,,,,,
0.57852,,,,,
0.33807,,,,,
0.30572,,,,,
0.62297,,,,,
0.99786,,,,,
0.2773,,,,,
0.45273,,,,,
0.32515,,,,,
0.34013,,,,,
0.07818,,,,,
0.30185,,,,,
0.48372,,,,,
0.23404,,,,,
0.90038,,,,,
0.31045,,,,,
0.23951,,,,,
0.4659,,,,,
0.87034,,,,,
0.6796,,,,,
0.27425,,,,,
0.08043,,,,,
0.1324,,,,,
0.55601,,,,,
0.38828,,,,,
0.40012,,,,,
0.5513,,,,,
0.48378,,,,,
1.02608,,,,,
0.23537,,,,,
0.03918,,,,,
0.04549,,,,,
0.53124,,,,,
0.36531,,,,,
0.96622,,,,,
0.65123,,,,,
0.28657,,,,,
0.43008,,,,,
1.20999,,,,,
0.47721,,,,,
0.23237,,,,,
0.59829,,,,,
0.06534,,,,,
0.49499,,,,,
0.45566,,,,,
0.79891,,,,,
0.69367,,,,,
0.50901,,,,,
0.78995,,,,,
0.98599,,,,,
0.26364,,,,,
1.08448,,,,,
0.38605,,,,,
0.40231,,,,,
0.14584,,,,,
0.42086,,,,,
0.24263,,,,,
0.31622,,,,,
0.18187,,,,,
0.80345,,,,,
0.40484,,,,,
0.18626,,,,,
1.11277,,,,,
0.47114,,,,,
0.42556,,,,,
0.3284,,,,,
0.38739,,,,,
0.4259,,,,,
0.60842,,,,,
0.18609,,,,,
0.39374,,,,,
0.53943,,,,,
0.5146,,,,,
0.38918,,,,,
0.38955,,,,,
0.37276,,,,,
0.42562,,,,,
0.1787,,,,,
0.36936,,,,,
0.33233,,,,,
0.34241,,,,,
0.18529,,,,,
0.4943,,,,,
0.78379,,,,,
1.10923,,,,,
1.08893,,,,,
1.15704,,,,,
0.58206,,,,,
0.34382,,,,,
1.16463,,,,,
0.37237,,,,,
0.39085,,,,,
1.1136,,,,,
1.13127,,,,,
0.50466,,,,,
0.39061,,,,,
0.04906,,,,,
0.65664,,,,,
0.38726,,,,,
0.80074,,,,,
0.15875,,,,,
0.1636,,,,,
0.34515,,,,,
0.6693,,,,,
0.32718,,,,,
0.33046,,,,,
0.12569,,,,,
0.1068,,,,,
0.45819,,,,,
0.41174,,,,,
0.17176,,,,,
-0.00155,,,,,
0.38027,,,,,
0.83591,,,,,
0.33278,,,,,
0.07359,,,,,
0.32679,,,,,
0.8977,,,,,
0.64486,,,,,
0.44088,,,,,
0.32227,,,,,
0.09308,,,,,
0.3262,,,,,
0.34681,,,,,
0.52044,,,,,
0.50701,,,,,
0.05839,,,,,
0.76682,,,,,
0.70684,,,,,
0.09791,,,,,
0.33036,,,,,
1.07253,,,,,
0.95861,,,,,
0.66636,,,,,
0.50463,,,,,
0.61229,,,,,
0.30162,,,,,
0.44502,,,,,
0.16719,,,,,
1.11945,,,,,
0.41508,,,,,
0.89725,,,,,
-0.01109,,,,,
1.05277,,,,,
0.54185,,,,,
0.69451,,,,,
0.35335,,,,,
0.19012,,,,,
0.28309,,,,,
0.51524,,,,,
0.51232,,,,,
0.29387,,,,,
0.25521,,,,,
0.04094,,,,,
0.24684,,,,,
0.55564,,,,,
0.68028,,,,,
0.32842,,,,,
-0.0123,,,,,
0.53541,,,,,
0.54641,,,,,
-0.19532,,,,,
0.24883,,,,,
0.24406,,,,,
0.75998,,,,,
0.55447,,,,,
0.4167,,,,,
0.51848,,,,,
0.38086,,,,,
1.05954,,,,,
-0.19627,,,,,
0.3778,,,,,
0.54925,,,,,
0.42194,,,,,
0.57224,,,,,
0.11145,,,,,
0.25337,,,,,
0.63199,,,,,
0.70064,,,,,
0.09174,,,,,
0.33273,,,,,
0.41756,,,,,
0.67934,,,,,
0.0898,,,,,
0.32609,,,,,
0.23116,,,,,
0.15944,,,,,
0.26095,,,,,
0.25814,,,,,
0.33335,,,,,
-0.2229,,,,,
0.72655,,,,,
0.71166,,,,,
0.21663,,,,,
0.33024,,,,,
0.58806,,,,,
0.45576,,,,,
0.11537,,,,,
-0.21907,,,,,
0.16475,,,,,
0.31728,,,,,
0.42,,,,,
0.41158,,,,,
0.31508,,,,,
0.18107,,,,,
0.41288,,,,,
0.14297,,,,,
0.25844,,,,,
0.13493,,,,,
0.2499,,,,,
0.3557,,,,,
0.59355,,,,,
0.24885,,,,,
-0.22126,,,,,
0.23893,,,,,
0.92153,,,,,
0.58199,,,,,
0.25709,,,,,
0.3234,,,,,
0.2912,,,,,
0.50426,,,,,
0.19992,,,,,
0.28349,,,,,
0.4904,,,,,
0.90836,,,,,
0.67132,,,,,
0.63135,,,,,
