# Radial distribution function (50 data points):
# "Pair separation distance" Ti-Ti Ti-V Ti-Al Ti-Cr Ti-Zr Ti-N Ti-O V-V V-Al V-Cr V-Zr V-N V-O Al-Al Al-Cr Al-Zr Al-N Al-O Cr-Cr Cr-Zr Cr-N Cr-O Zr-Zr Zr-N Zr-O N-N N-O O-O
2.13 0.4422651332 0.2487741374 0.0 0.904633227 0.0 2.5139281255 1.4295753249 1.1194836184 0.8396127138 2.6460521889 0.0 3.8887325691 1.0406467439 0.2798709046 0.3053137141 0.1119483618 0.1767605713 0.346882248 4.736988534 0.0 1.8854460941 1.3072587195 0.0 1.60262918 6.6349113608 3.3739561684 0.8099451531 0.2913633222 
2.19 0.8367297816 0.0 0.0 2.0537912822 0.0 1.7835555872 0.7424503696 1.0589861299 0.7942395974 1.5403434616 0.0 5.4621389857 0.8054260706 1.9855989935 0.4813573318 0.105898613 0.6688333452 0.2833906545 8.4018734271 0.3080686923 1.8646262957 0.585764415 0.0 1.6943778078 4.0569609483 3.4732398276 1.268585312 0.3697313209 
2.25 1.1890527153 0.4458947682 0.3344210762 4.7021630104 0.0 1.2203435762 0.6782624643 1.5048948428 0.2508158071 2.5537609453 0.0 2.8513797021 0.4804359122 1.2540790356 0.7296459844 0.0 0.3696232947 0.2826093601 5.30651625 0.0 1.3056822878 0.2671943041 0.0 1.1827945431 2.5321798669 2.9347533776 1.2494308554 0.4840182844 
2.31 0.0 1.0575837796 0.105758378 4.1534199344 0.0 0.6234178069 0.4528246042 0.9518254016 0.2379563504 4.3264790984 0.0 1.102113623 0.563051646 1.6656944529 0.8652958197 0.0951825402 0.7514411066 0.187683882 2.0137793622 0.0 1.3116062951 0.3119939857 0.3045841285 1.9236892328 1.9090131999 3.2061487213 1.1627933743 0.6162979788 
2.37 1.4289292618 1.2056590646 0.3014147662 1.8998264049 0.0 0.6768612293 0.2716978174 0.9042442985 0.1130305373 2.6305288683 0.0 0.8566524933 0.5858484187 1.3563664477 0.4932241628 0.0904244298 0.3331426363 0.2165091982 5.0219187485 0.2630528868 1.0383666585 0.2408230654 0.0 1.4467908775 0.8966027974 4.1680402012 1.0081419013 0.9069349679 
2.43 0.67961978 0.9557153156 0.0 4.0313809675 0.0 0.3219251589 0.2584469586 3.440575136 0.430071892 1.8766773469 0.3440575136 2.4446191756 0.5088174497 1.397733649 0.3127795578 0.6021006488 0.4527072547 0.133261713 7.5067093877 0.0 0.5926349517 0.229077986 0.0 0.9416310899 0.9691760947 3.8885170513 1.1426076063 1.1793917546 
2.49 0.970894795 2.0024705147 0.0 2.3831054059 0.0 0.3832479454 0.4512609611 1.2287887249 0.6143943625 3.1278258453 0.3276769933 1.4659233911 0.230758446 1.4335868457 0.5957763515 0.737273235 0.4311539386 0.1499929899 6.7160243257 0.1191552703 0.7525596019 0.3356486487 0.0 0.8278155621 0.6092022974 1.8153850045 1.0590598153 1.6224593837 
2.55 1.8514904616 1.3886178462 0.1735772308 2.2722837484 0.0 0.4385108988 0.2933699675 1.562195077 0.5858231539 2.5563192169 0.7810975385 1.8910782511 0.3080384659 0.7810975385 0.4260532028 0.3124390154 0.4111039676 0.2640329708 3.5117112475 0.2272283748 0.7773602297 0.2560319716 0.0 0.6577663482 0.2992373669 1.9386797631 1.2599468078 2.0527633783 
2.61 0.5891155429 1.1598212251 0.3313774929 0.8435063455 0.1325509972 0.0697636827 0.2800373179 1.491198718 0.8387992789 2.3045798369 0.8947192308 1.6481670041 0.2310307873 1.2115989584 0.8811628788 0.5219195513 0.4316627868 0.2205293879 3.7464827296 0.5422540793 1.3128256656 0.2596709675 0.0 1.0045970311 0.4200559769 1.4540220187 1.3353358424 2.4138427969 
2.67 1.4073425927 1.2666083334 0.7124671875 2.1877780304 0.2533216667 0.1999907895 0.2675933099 1.4249343751 0.5343503906 2.3317107956 0.7124671875 1.349937829 0.501737456 1.7811679688 0.5181579546 0.4274803125 0.4124810033 0.4013899648 1.1305264463 0.2072631818 1.2544876795 0.3503039693 0.2279895 0.3599834211 0.4495567606 1.1367897507 1.5802089141 2.2523065067 
2.73 1.0769309088 1.3629906814 1.2115472724 2.7535165281 0.1211547272 0.6376564591 0.375409014 1.0222430111 0.9370560935 3.0977060941 1.0903925451 1.0043089231 0.4607292444 1.6185514342 0.8673577064 0.6814953407 0.4662862857 0.2975543037 0.720920691 0.39650638 1.8260162239 0.2792298451 0.218078509 0.6312798945 0.2610799052 1.5706485415 1.5276811789 2.2625483083 
2.79 2.577777815 1.595000023 1.6675000241 0.8436363758 0.2320000033 0.4273684272 0.2123943693 1.3050000188 0.9787500141 2.4913636723 0.9135000132 1.7171052879 0.3859859211 2.0390625294 0.5338636441 1.2397500179 0.4464473749 0.3400352162 1.2079339017 0.664363646 2.3477512301 0.4411267669 0.0 0.2747368461 0.1470422556 1.4459834004 1.4781616225 2.2615513122 
2.85 2.4703862736 1.250633051 0.9727145952 0.8084900532 0.4446695292 0.5265823373 0.3131475558 2.1886078393 0.7034810912 2.501266102 0.5002532204 1.5139242196 0.4403637504 1.8759495765 1.250633051 1.813417924 0.3291139608 0.3787128253 1.9844755851 0.4547756549 3.0637517804 0.4996126913 0.4002025763 0.2632911686 0.2113746002 1.2748835534 1.3424141274 2.2109981652 
2.91 3.0804390097 2.2658998485 1.6661028298 0.9693689191 0.4265223244 0.5050922263 0.3604414009 2.0992895655 1.1246194101 2.1810800681 1.0796346337 2.3991880749 0.4223922667 1.2745686648 0.9814860306 1.6794316524 0.3788191697 0.5153185654 2.0621120644 0.95967523 2.2499562808 0.4669354512 1.5354803679 0.404073781 0.4595627862 1.6481956858 1.2662875532 1.9608519874 
2.97 1.8198388993 2.0473187617 1.3435529374 0.9305994371 1.228391257 0.7542753333 0.2306838041 1.7274252052 0.7917365524 2.1985411702 1.1516168035 1.8183423213 0.6650181541 1.9433533558 0.8898857118 1.669844365 0.515196991 0.3892789195 1.6750789868 1.0888013415 1.9395651427 0.4836495666 0.5527760657 0.5333804142 0.2854712076 1.429153263 1.304425853 1.7727725441 
