Platinum  Palladium  Nickel  Cobalt  Iron  Oxygen
   1.000000000000000
 26.8390302326635251 -15.5088069955373857  0.2610371749561117
  0.0000000000000000 31.1794617591341989 -0.0663812827791770
  0.0000000000000000  0.0000000000000000 22.9220064906261953
Pt Pd Ni Co Fe O
   171   126   144   135   144   1
Selective dynamics
Direct
  0.8100333333333336  0.9298433333333331  0.4712499999999991   F   F   F
  0.8156000000000001  0.9290333333333328  0.1840499999999998   F   F   F
  0.8131233333333335  0.7642766666666667  0.1841599999999998   F   F   F
  0.8978900000000002  0.8442099999999997  0.4738999999999997   F   F   F
  0.8440500000000004  0.7334899999999999  0.2805199999999997   F   F   F
  0.8994933333333338  0.9297033333333333  0.4740699999999992   F   F   F
  0.7522733333333339  0.7348133333333333  0.2832899999999998   F   F   F
  0.9478800000000003  0.7874266666666667  0.0961199999999998   F   F   F
  0.9489566666666669  0.9554233333333328  0.0914199999999998   F   F   F
  0.7837266666666669  0.7057066666666669  0.3784299999999995   F   F   F
  0.6999633333333336  0.8688900000000001  0.0909099999999999   F   F   F
  0.9245966666666670  0.9873333333333332  0.2782099999999994   F   F   F
  0.8639900000000001  0.8707399999999998  0.0982199999999999   F   F   F
  0.9510133333333336  0.7059333333333334  0.0941800000000000   F   F   F
  0.8975300000000003  0.6790866666666668  0.4686399999999995   F   F   F
  0.6998366666666667  0.7894833333333331  0.3717699999999994   F   F   F
  0.0609466666666666  0.0914999999999999  0.4734599999999990   F   F   F
  0.2843566666666669  0.2029499999999999  0.3746999999999996   F   F   F
  0.0884533333333335  0.2307000000000000  0.2841899999999994   F   F   F
  0.0611166666666667  0.2587233333333335  0.1867799999999995   F   F   F
  0.3088533333333334  0.2595766666666663  0.1879299999999997   F   F   F
  0.0322366666666667  0.2880633333333332  0.0885099999999998   F   F   F
  0.0898200000000001  0.3162366666666663  0.2830399999999993   F   F   F
  0.0583433333333334  0.1776466666666668  0.4750099999999992   F   F   F
  0.1191166666666670  0.2888766666666668  0.0899799999999999   F   F   F
  0.1745000000000001  0.1510300000000000  0.2813499999999998   F   F   F
  0.0039400000000001  0.2309133333333332  0.2823799999999995   F   F   F
  0.1729166666666667  0.2337500000000000  0.2811999999999998   F   F   F
  0.2290500000000001  0.0938233333333335  0.4712199999999991   F   F   F
  0.1446266666666667  0.1767266666666666  0.4784099999999994   F   F   F
  0.3942800000000000  0.0914999999999999  0.4734599999999991   F   F   F
  0.6176900000000003  0.2029499999999999  0.3746999999999995   F   F   F
  0.4217866666666669  0.2306999999999999  0.2841899999999995   F   F   F
  0.3944500000000001  0.2587233333333334  0.1867799999999996   F   F   F
  0.6421866666666667  0.2595766666666662  0.1879299999999997   F   F   F
  0.3655700000000001  0.2880633333333331  0.0885099999999998   F   F   F
  0.4231533333333335  0.3162366666666663  0.2830399999999993   F   F   F
  0.3916766666666668  0.1776466666666668  0.4750099999999992   F   F   F
  0.4524500000000004  0.2888766666666668  0.0899799999999999   F   F   F
  0.5078333333333334  0.1510299999999999  0.2813499999999999   F   F   F
  0.3372733333333335  0.2309133333333332  0.2823799999999995   F   F   F
  0.5062500000000000  0.2337499999999999  0.2811999999999998   F   F   F
  0.5623833333333336  0.0938233333333335  0.4712199999999990   F   F   F
  0.4779600000000002  0.1767266666666667  0.4784099999999996   F   F   F
  0.7276133333333336  0.0915000000000000  0.4734599999999992   F   F   F
  0.9510233333333337  0.2029499999999998  0.3746999999999997   F   F   F
  0.7551200000000005  0.2307000000000000  0.2841899999999996   F   F   F
  0.7277833333333336  0.2587233333333334  0.1867799999999995   F   F   F
  0.9755200000000002  0.2595766666666663  0.1879299999999997   F   F   F
  0.6989033333333334  0.2880633333333331  0.0885099999999998   F   F   F
  0.7564866666666670  0.3162366666666663  0.2830399999999993   F   F   F
  0.7250100000000002  0.1776466666666668  0.4750099999999992   F   F   F
  0.7857833333333339  0.2888766666666668  0.0899799999999999   F   F   F
  0.8411666666666670  0.1510300000000000  0.2813499999999998   F   F   F
  0.6706066666666670  0.2309133333333332  0.2823799999999994   F   F   F
  0.8395833333333336  0.2337499999999999  0.2811999999999999   F   F   F
  0.8957166666666669  0.0938233333333335  0.4712199999999991   F   F   F
  0.8112933333333334  0.1767266666666666  0.4784099999999995   F   F   F
