?G(O),?G(O-Ni),?G(O-Co),?G(O-Fe),?G(O-Pd),?G(O-Pt)
0.38026,1.20595,0.637,-0.28776,1.27808,1.23029
0.76868,1.43182,-0.46593,0.04998,1.04503,0.78637
-0.04671,0.1554,0.36246,0.14129,1.04705,1.0105
0.2385,-0.14662,-0.46242,-0.29152,0.44009,0.92428
-0.15377,0.95462,0.16204,-0.29573,1.56387,1.2344
0.17751,0.68377,-0.29473,-0.29257,0.94236,1.22932
0.38253,0.10462,1.13765,0.14708,1.30842,1.30403
0.56807,1.10869,0.13766,0.86683,0.83228,1.13384
-0.00419,1.22041,0.68377,0.34206,0.76451,1.01292
0.23987,1.20787,0.10462,1.03415,0.93034,1.20016
0.22512,0.03862,0.03862,0.20232,0.8277,1.16727
-0.14716,0.15756,0.15756,0.7006,0.76487,1.83484
0.82452,0.14946,0.77078,0.89353,1.36555,1.23859
1.12768,1.10498,0.10014,0.20851,0.92933,1.40916
0.19524,0.77078,0.1579,0.90493,1.24552,1.43121
0.10611,0.43741,0.10137,0.55751,0.76446,1.40959
0.11585,0.10014,0.71233,0.54651,1.24388,1.24308
0.54342,-0.14243,-0.29433,0.4993,1.56411,1.83293
-0.04802,1.20863,0.1378,0.37945,0.82745,1.82793
0.17364,0.1579,0.76942,0.33047,1.36525,1.41273
0.21282,0.15088,0.71569,0.79353,1.36575,1.20139
0.19233,0.10137,0.03966,0.69712,1.23029,1.20199
-0.25692,0.14921,1.27983,0.37491,1.24625,0.89729
-0.00787,1.22127,1.04461,0.33266,0.94226,0.56942
-0.11744,0.37807,0.44074,0.19851,0.93463,1.28786
0.19082,-0.14918,0.27654,1.24686,1.5703,0.57204
0.49597,1.43358,0.16596,0.20419,0.76163,0.57467
0.49727,0.76942,1.25691,0.38208,1.2344,1.42698
0.21734,0.95228,0.67146,0.32841,1.22932,1.12478
0.22593,1.10619,0.16597,0.89611,1.30403,1.12494
0.82353,-0.06686,0.44005,0.69905,1.13384,1.22159
-0.00771,0.27654,1.27808,0.54919,1.20016,1.33462
0.49307,0.02966,0.53753,0.20446,0.69268,1.22329
0.49248,-0.07108,0.02966,1.02766,1.16727,0.56782
0.85672,-0.06997,1.04503,0.63868,1.83181,1.12372
1.33307,0.25096,0.10513,0.56102,0.69606,1.43059
1.12179,0.31366,0.25096,0.99497,1.83484,0.69991
0.91039,0.42509,0.04117,0.15055,1.40916,1.33449
0.56809,0.13902,0.31366,0.25137,0.89664,1.07522
1.92242,0.251,1.04705,1.32198,1.43121,0.87509
0.62732,0.31253,0.42509,0.64026,1.40959,0.8802
0.2522,0.9844,0.13902,0.13397,0.70772,1.48889
0.46997,-0.04456,0.251,0.8923,1.83197,1.25099
0.86032,-0.04302,0.31253,0.56423,1.83293,0.87074
1.90427,0.09379,0.9844,0.48069,1.82793,1.08625
0.56918,0.03096,0.62321,0.56686,1.41273,1.14917
0.35109,-0.07174,-0.04456,0.1441,0.69286,0.87196
0.35113,0.02886,0.10253,1.36735,0.90002,1.15353
0.99117,-0.07044,-0.04302,0.14306,0.70441,1.08694
0.98073,-0.04389,0.09379,0.14303,0.72215,0.86904
0.85287,1.56387,0.44009,0.52639,1.82854,1.3384
1.07275,0.94236,0.03096,0.63766,1.20139,2.05671
0.49283,0.76451,0.10769,0.99717,0.69396,1.37529
1.06579,0.83008,0.02886,0.9977,1.20199,1.33644
0.84517,0.46338,0.04117,0.25765,0.70707,1.38217
0.84801,0.46468,-0.04389,0.64191,1.36678,0.86749
1.12244,0.76487,0.62253,1.31859,0.63901,0.8801
