?G(OH),?G(OH-Ni),?G(OH-Co),?G(OH-Fe),?G(OH-Pd),?G(OH-Pt)
0.20869,-0.20425,-0.15345,-0.58411,0.82636,1.0739
0.49292,0.19689,-0.30153,-0.26122,0.73686,1.08079
0.05296,-0.21664,-0.22045,-0.5799,-0.02072,1.07812
-0.06973,-0.00429,-0.10596,0.25057,-0.0229,1.00811
0.35625,-0.25798,-0.20426,0.15748,0.20637,0.90857
0.38608,0.09669,-0.45303,-0.25555,0.075,0.86874
-0.0676,0.45325,-0.21886,-0.50268,-0.11974,0.98016
0.04405,0.09284,-0.45437,0.14206,0.13288,1.01621
0.05555,0.45541,0.20637,-0.3906,-0.02118,1.01686
-0.11345,0.15266,0.075,-0.12194,-0.12081,1.07725
0.03234,0.22385,-0.36726,-0.12357,-0.16177,1.11575
-0.11208,0.07347,-0.20153,-0.39199,-0.16153,1.05069
-0.15125,0.0658,-0.27508,0.25945,0.07368,1.13793
0.30808,0.0675,0.39311,-0.38863,0.07559,1.12973
0.50403,0.12352,-0.26909,-0.39229,-0.11874,1.12884
0.53798,0.12561,-0.36826,-0.50409,0.20754,1.03998
0.30447,0.42975,-0.21374,-0.42233,0.49243,0.86177
1.00811,0.06519,-0.2602,-0.39176,-0.03084,0.86616
-0.11056,0.15082,-0.36683,-0.50289,0.48182,1.06002
-0.00912,0.15567,-0.20425,-0.42499,0.49372,0.85384
-0.14197,0.12242,0.19689,-0.4171,0.21112,0.8562
0.70508,0.90104,-0.45372,-0.41865,-0.03328,--
0.10869,-0.20258,-0.21664,-0.42165,-0.0337,--
0.17638,0.36641,-0.00429,-0.42942,0.21331,--
-0.17529,0.58424,-0.25798,-0.01023,-0.0328,--
-0.01521,0.03359,-0.2917,-0.41584,0.07347,--
0.86056,0.46606,0.07368,0.13708,-0.03109,--
-0.25776,0.45473,0.07559,-0.00999,0.0658,--
-0.16247,0.56267,0.20754,0.23804,-0.01208,--
-0.20838,0.49961,0.49243,-0.43353,0.0675,--
0.17412,0.45714,0.26497,-0.50344,0.12352,--
-0.17156,0.13371,0.26335,0.14697,0.12561,--
0.63085,0.5304,0.45325,0.03612,0.42975,--
-0.02159,-0.20049,0.45541,0.12387,0.06519,--
-0.0098,0.03819,0.48182,-0.39169,0.15082,--
-0.17275,0.13376,0.49372,-0.41888,0.15567,--
-0.17268,0.11571,0.21112,-0.12205,-0.03222,--
-0.13774,0.13622,0.15266,0.11952,0.12242,--
-0.25946,0.45594,-0.1021,-0.42125,-0.01504,--
-0.02169,0.13417,-0.10211,0.21943,-0.01551,--
0.46118,-0.2842,-0.10317,-0.15268,-0.18852,--
0.63127,-0.13625,0.21331,-0.15107,0.944,--
-0.17089,-0.07505,-0.0328,-0.15271,0.03359,--
-0.17523,-0.13237,-0.03109,-0.15566,0.13371,--
-0.17144,-0.09971,-0.15195,0.36184,0.03819,--
-0.23868,-0.28751,-0.15342,-0.15088,0.13376,--
-0.20786,0.13509,-0.03222,0.22023,0.11571,--
0.92314,-0.1018,-0.15211,0.22536,0.13622,--
0.79342,0.02631,-0.15237,-0.14976,0.13417,--
0.39064,0.13641,-0.223,0.22183,0.49389,--
-0.26328,-0.13808,0.28531,0.37057,-0.11636,--
0.33462,-0.12811,-0.23114,0.01997,-0.12252,--
-0.17494,-0.13451,-0.22715,-0.14968,0.06688,--
-0.02225,0.13781,-0.31336,-0.1522,0.49462,--
0.44427,-0.0998,-0.22854,-0.14897,0.2757,
0.15252,-0.25202,0.17171,-0.15414,0.27957,
0.11452,-0.13781,-0.31688,0.35858,0.2085,
0.03023,-0.28774,-0.15987,-0.06946,0.14609,
0.18553,-0.2527,0.49389,0.04391,0.81908,
-0.07912,0.037,-0.07505,-0.11167,0.20534,
-0.24226,0.2757,-0.09971,-0.11371,0.20324,
-0.17642,0.27957,0.13509,0.06374,0.26367,
0.89203,0.39949,-0.1018,0.12867,0.14854,
0.32987,-0.13771,-0.13443,0.12989,0.66302,
0.32248,0.14609,0.06688,0.38429,0.27586,
0.57496,0.02403,0.13641,0.12587,0.20683,
0.4034,0.03424,-0.13118,0.04123,0.77107,
-0.2212,-0.05558,0.13781,0.04005,0.87444,
-0.03554,0.39511,-0.0998,0.05619,0.14376,
-0.16105,0.26367,0.49462,0.30355,0.13248,
-0.15112,-0.05568,0.037,-0.15264,0.61126,
-0.21911,-0.14127,0.2085,0.49292,0.14119,
-0.03483,-0.13974,0.39949,0.05296,0.13672,
-0.20952,0.0225,0.14609,-0.06973,0.13728,
0.89063,0.03921,0.25274,0.38608,0.40982,
1.08716,-0.05811,0.25255,-0.0676,0.19109,
-0.35654,0.14854,-0.05558,0.04405,0.39883,
-0.30455,0.66302,0.20534,0.05555,0.51262,
0.56917,0.27586,0.39511,-0.11345,0.50794,
-0.38853,-0.14012,0.20324,0.03234,0.41773,
-0.35667,0.20164,-0.05568,-0.11208,0.39316,
0.63061,0.77107,0.03921,-0.15125,0.20052,
-0.01849,0.13248,-0.05811,0.30808,0.26305,
0.33624,0.1088,0.14854,0.50403,0.39065,
0.98677,0.14119,0.20683,0.30447,0.71299,
-0.01686,-0.15248,0.20164,-0.11056,0.55057,
-0.15707,-0.15457,-0.09073,-0.14197,0.39209,
-0.1037,-0.15312,-0.12268,-0.25776,0.39291,
-0.10326,0.10938,-0.11911,-0.13774,0.39153,
1.09349,0.13728,-0.11929,-0.25946,0.02881,
-0.35661,0.18164,-0.08306,-0.23868,0.02678,
-0.22064,0.18361,-0.12448,-0.26328,0.59903,
-0.15394,0.51262,-0.11846,-0.07912,0.03091,
-0.38784,0.50794,-0.09003,-0.24226,-0.19197,
-0.10355,0.04456,0.40982,-0.2212,-0.19587,
0.54545,0.18109,0.19109,-0.03554,-9.72E-04,
0.90857,0.0432,0.10115,-0.16105,-0.1943,
-0.39085,0.39316,0.39883,-0.21911,-0.19098,
-0.01901,0.04411,0.51262,-0.03483,-7.58E-06,
