?G(OOH),?G(OOH-Ru),?G(OOH-Rh),?G(OOH-Pd),?G(OOH-Ir),?G(OOH-Pt)
1.95628,,,,,
0.77453,,,,,
4.10784,,,,,
3.43119,,,,,
3.70193,,,,,
1.95145,,,,,
2.11805,,,,,
1.53246,,,,,
3.62564,,,,,
3.2727,,,,,
1.13746,,,,,
4.00768,,,,,
3.40193,,,,,
4.06567,,,,,
1.62315,,,,,
4.09136,,,,,
4.25061,,,,,
1.64404,,,,,
4.04563,,,,,
3.52117,,,,,
0.35818,,,,,
1.94929,,,,,
0.99784,,,,,
1.41567,,,,,
3.95377,,,,,
3.99183,,,,,
4.38936,,,,,
3.78646,,,,,
0.73098,,,,,
1.05645,,,,,
0.39405,,,,,
1.37852,,,,,
1.25242,,,,,
3.30161,,,,,
3.59543,,,,,
0.75344,,,,,
4.02818,,,,,
1.48944,,,,,
3.88417,,,,,
0.66001,,,,,
1.27722,,,,,
1.47608,,,,,
0.55408,,,,,
0.92248,,,,,
0.29591,,,,,
1.19022,,,,,
1.95907,,,,,
1.86534,,,,,
3.84627,,,,,
1.445,,,,,
0.60042,,,,,
4.26001,,,,,
0.82609,,,,,
4.15132,,,,,
0.83225,,,,,
3.55695,,,,,
3.91102,,,,,
1.23764,,,,,
3.59334,,,,,
1.4316,,,,,
3.33934,,,,,
4.12055,,,,,
1.45555,,,,,
1.42773,,,,,
3.6072,,,,,
3.69854,,,,,
4.2066,,,,,
4.37199,,,,,
0.83541,,,,,
4.24681,,,,,
3.3752,,,,,
0.91391,,,,,
1.63996,,,,,
4.21946,,,,,
1.39877,,,,,
2.18923,,,,,
4.10743,,,,,
1.37483,,,,,
2.03681,,,,,
3.6738,,,,,
0.99116,,,,,
0.89367,,,,,
3.49964,,,,,
1.5642,,,,,
1.63495,,,,,
1.07526,,,,,
1.80667,,,,,
2.06336,,,,,
4.28041,,,,,
3.63808,,,,,
4.03105,,,,,
1.52793,,,,,
3.65279,,,,,
0.54086,,,,,
1.34324,,,,,
1.76134,,,,,
0.34747,,,,,
3.56785,,,,,
0.80249,,,,,
3.45177,,,,,
1.81812,,,,,
0.3578,,,,,
4.19569,,,,,
4.33995,,,,,
3.51215,,,,,
0.60656,,,,,
3.76188,,,,,
3.62164,,,,,
3.8234,,,,,
1.64053,,,,,
3.82707,,,,,
1.12685,,,,,
1.05238,,,,,
1.58924,,,,,
1.10392,,,,,
3.47999,,,,,
1.32089,,,,,
4.11932,,,,,
4.16508,,,,,
2.72151,,,,,
4.24513,,,,,
0.64848,,,,,
1.43061,,,,,
1.41943,,,,,
0.33065,,,,,
0.7968,,,,,
0.82936,,,,,
0.96978,,,,,
3.66762,,,,,
1.39557,,,,,
1.24168,,,,,
0.90743,,,,,
1.28397,,,,,
3.72322,,,,,
4.35394,,,,,
1.31345,,,,,
4.04179,,,,,
4.18731,,,,,
3.85718,,,,,
1.8344,,,,,
3.79926,,,,,
3.41817,,,,,
4.20204,,,,,
3.30101,,,,,
3.65284,,,,,
4.30366,,,,,
3.40824,,,,,
3.57688,,,,,
1.47496,,,,,
1.19206,,,,,
3.637,,,,,
1.10693,,,,,
4.11812,,,,,
1.1099,,,,,
3.63891,,,,,
3.91843,,,,,
0.82572,,,,,
2.09234,,,,,
3.52943,,,,,
3.91974,,,,,
1.85956,,,,,
3.9003,,,,,
3.41202,,,,,
4.17556,,,,,
0.55893,,,,,
0.68572,,,,,
0.48618,,,,,
1.40381,,,,,
3.54712,,,,,
0.64624,,,,,
0.91376,,,,,
3.55152,,,,,
4.20616,,,,,
3.73116,,,,,
1.70282,,,,,
1.71196,,,,,
1.27351,,,,,
3.72453,,,,,
1.36947,,,,,
3.90792,,,,,
